epoch,train_loss,val_loss
0,0.5332826000192891,0.26195083372294903
1,0.45008712812610296,0.28993113338947296
2,0.3093771014524543,0.381864532828331
3,0.383342776933442,0.360436761751771
4,0.3149150117583897,0.4704900458455086
5,0.29752948232319043,0.24680515378713608
6,0.2904440993848054,0.24635853990912437
7,0.2661074250936508,0.25701453164219856
8,0.2680707622481429,0.3566553592681885
9,0.29341786678718484,0.2919832281768322
10,0.27828296014796133,0.24707349203526974
11,0.26089524380538776,0.28554088808596134
12,0.25021005000757135,0.24635160341858864
13,0.2672131897314735,0.255378607660532
14,0.24922019858723102,0.2462980765849352
15,0.259843034264834,0.24685508012771606
16,0.25193772529778274,0.2502523846924305
17,0.24935904210028442,0.239144716411829
18,0.25130649170149927,0.2444020751863718
19,0.2509632460449053,0.23514136113226414
20,0.25054815120023227,0.2383341398090124
21,0.24829925143200418,0.2394852414727211
22,0.24586154812056085,0.23890362307429314
23,0.2505940801423529,0.2534450385719538
24,0.24423071904026944,0.24176672473549843
25,0.24597580633733584,0.23747887089848518
26,0.24307655996602515,0.25391558930277824
27,0.24341806898946347,0.2682286389172077
28,0.2453017312547435,0.23973793350160122
29,0.2539525242603343,0.23624745197594166
